Year,Area,ANZSIC06,Measure,Value,Flags
"2018","Canterbury Region","C119 Other Food Product Manufacturing","Geographic Units",120,
"2018","Canterbury Region","C121 Beverage Manufacturing","Geographic Units",96,
"2018","Canterbury Region","C115 Oil and Fat Manufacturing","Geographic Units",6,
"2018","Canterbury Region","C116 Grain Mill and Cereal Product Manufacturing","Geographic Units",12,
"2018","Canterbury Region","C117 Bakery Product Manufacturing","Geographic Units",144,
"2018","Canterbury Region","C112 Seafood Processing","Geographic Units",18,
"2018","Canterbury Region","C113 Dairy Product Manufacturing","Geographic Units",27,
"2018","Canterbury Region","C114 Fruit and Vegetable Processing","Geographic Units",18,
"2018","Canterbury Region","B101 Exploration","Geographic Units",6,
"2018","Canterbury Region","B109 Other Mining Support Services","Geographic Units",12,
"2018","Canterbury Region","C111 Meat and Meat Product Manufacturing","Geographic Units",54,
"2018","Canterbury Region","B080 Metal Ore Mining","Geographic Units",12,
"2018","Canterbury Region","B091 Construction Material Mining","Geographic Units",42,
"2018","Canterbury Region","B099 Other Non-Metallic Mineral Mining and Quarrying","Geographic Units",3,
"2018","Canterbury Region","A051  Forestry Support Services","Geographic Units",54,
"2018","Canterbury Region","A052 Agriculture and Fishing Support Services","Geographic Units",1086,
"2018","Canterbury Region","B060 Coal Mining","Geographic Units",3,
"2018","Canterbury Region","A030 Forestry and Logging","Geographic Units",432,
"2018","Canterbury Region","A041 Fishing","Geographic Units",150,
"2018","Canterbury Region","A042 Hunting and Trapping","Geographic Units",24,
"2018","Canterbury Region","A018 Deer Farming","Geographic Units",228,
"2018","Canterbury Region","A019 Other Livestock Farming","Geographic Units",648,
"2018","Canterbury Region","A020 Aquaculture","Geographic Units",24,
"2018","Canterbury Region","A015 Other Crop Growing","Geographic Units",690,
"2018","Canterbury Region","A016 Dairy Cattle Farming","Geographic Units",1680,
"2018","Canterbury Region","A017 Poultry Farming","Geographic Units",84,
"2018","Canterbury Region","A012 Mushroom and Vegetable Growing","Geographic Units",180,
"2018","Canterbury Region","A013 Fruit and Tree Nut Growing","Geographic Units",333,
"2018","Canterbury Region","A014 Sheep, Beef Cattle and Grain Farming","Geographic Units",4059,
"2018","Canterbury Region","S94 Repair and Maintenance","Geographic Units",1434,
"2018","Canterbury Region","S95 Personal and Other Services","Geographic Units",1752,
"2018","Canterbury Region","A011 Nursery and Floriculture Production","Geographic Units",162,
"2018","Canterbury Region","R90 Artistic Activities","Geographic Units",261,
"2018","Canterbury Region","R91 Sport and Recreation Activities","Geographic Units",978,
"2018","Canterbury Region","R92 Gambling Activities","Geographic Units",18,
"2018","Canterbury Region","Q86 Residential Care Services","Geographic Units",246,
"2018","Canterbury Region","Q87 Social Assistance Services","Geographic Units",348,
"2018","Canterbury Region","R89 Heritage Activities","Geographic Units",63,
"2018","Canterbury Region","P82 Adult, Community and Other Education","Geographic Units",513,
"2018","Canterbury Region","Q84 Hospitals","Geographic Units",45,
"2018","Canterbury Region","Q85 Medical and Other Health Care Services","Geographic Units",2274,
"2018","Canterbury Region","O77 Public Order, Safety and Regulatory Services","Geographic Units",354,
"2018","Canterbury Region","P80 Preschool and School Education","Geographic Units",675,
"2018","Canterbury Region","P81 Tertiary Education","Geographic Units",78,
"2018","Canterbury Region","N73 Building Cleaning, Pest Control and Other Support Services","Geographic Units",1062,
"2018","Canterbury Region","O75 Public Administration","Geographic Units",132,
"2018","Canterbury Region","O76 Defence","Geographic Units",9,
"2018","Canterbury Region","M69 Professional, Scientific and Technical Services (except Computer Systems Design and Related Services)","Geographic Units",5523,
"2018","Canterbury Region","M70 Computer System Design and Related Services","Geographic Units",933,
"2018","Canterbury Region","N72 Administrative Services","Geographic Units",1143,
"2018","Canterbury Region","K64 Auxiliary Finance and Insurance Services","Geographic Units",747,
"2018","Canterbury Region","L66 Rental and Hiring Services (except Real Estate)","Geographic Units",957,
"2018","Canterbury Region","L67 Property Operators and Real Estate Services","Geographic Units",14040,
"2018","Canterbury Region","J60 Library and Other Information Services","Geographic Units",45,
"2018","Canterbury Region","K62 Finance","Geographic Units",3528,
"2018","Canterbury Region","K63 Insurance and Superannuation Funds","Geographic Units",63,
"2018","Canterbury Region","J57 Internet Publishing and Broadcasting","Geographic Units",12,
"2018","Canterbury Region","J58 Telecommunications Services","Geographic Units",39,
"2018","Canterbury Region","J59 Internet Service Providers, Web Search Portals and Data Processing Services","Geographic Units",66,
"2018","Canterbury Region","J54 Publishing (except Internet and Music Publishing)","Geographic Units",99,
"2018","Canterbury Region","J55 Motion Picture and Sound Recording Activities","Geographic Units",138,
"2018","Canterbury Region","J56 Broadcasting (except Internet)","Geographic Units",21,
"2018","Canterbury Region","I51 Postal and Courier Pick-up and Delivery Services","Geographic Units",513,
"2018","Canterbury Region","I52 Transport Support Services","Geographic Units",207,
"2018","Canterbury Region","I53 Warehousing and Storage Services","Geographic Units",132,
"2018","Canterbury Region","I48 Water Transport","Geographic Units",9,
"2018","Canterbury Region","I49 Air and Space Transport","Geographic Units",45,
"2018","Canterbury Region","I50 Other Transport","Geographic Units",114,
"2018","Canterbury Region","H45 Food and Beverage Services","Geographic Units",2253,
