Year,Area,ANZSIC06,Measure,Value,Flags
"2018","Canterbury Region","Q85 Medical and Other Health Care Services","Employee Count",9400,
"2018","Canterbury Region","Q86 Residential Care Services","Geographic Units",246,
"2018","Canterbury Region","Q86 Residential Care Services","Employee Count",9200,
"2018","Canterbury Region","Q87 Social Assistance Services","Geographic Units",348,
"2018","Canterbury Region","Q87 Social Assistance Services","Employee Count",3150,
"2018","Canterbury Region","R89 Heritage Activities","Geographic Units",63,
"2018","Canterbury Region","R89 Heritage Activities","Employee Count",810,
"2018","Canterbury Region","R90 Artistic Activities","Geographic Units",261,
"2018","Canterbury Region","R90 Artistic Activities","Employee Count",340,
"2018","Canterbury Region","R91 Sport and Recreation Activities","Geographic Units",978,
"2018","Canterbury Region","R91 Sport and Recreation Activities","Employee Count",3550,
"2018","Canterbury Region","R92 Gambling Activities","Geographic Units",18,
"2018","Canterbury Region","R92 Gambling Activities","Employee Count",640,
"2018","Canterbury Region","S94 Repair and Maintenance","Geographic Units",1434,
"2018","Canterbury Region","S94 Repair and Maintenance","Employee Count",3850,
"2018","Canterbury Region","S95 Personal and Other Services","Geographic Units",1752,
"2018","Canterbury Region","S95 Personal and Other Services","Employee Count",5800,
"2018","Canterbury Region","A011 Nursery and Floriculture Production","Geographic Units",162,
"2018","Canterbury Region","A011 Nursery and Floriculture Production","Employee Count",710,
"2018","Canterbury Region","A012 Mushroom and Vegetable Growing","Geographic Units",180,
"2018","Canterbury Region","A012 Mushroom and Vegetable Growing","Employee Count",1300,
"2018","Canterbury Region","A013 Fruit and Tree Nut Growing","Geographic Units",333,
"2018","Canterbury Region","A013 Fruit and Tree Nut Growing","Employee Count",430,
"2018","Canterbury Region","A014 Sheep, Beef Cattle and Grain Farming","Geographic Units",4059,
"2018","Canterbury Region","A014 Sheep, Beef Cattle and Grain Farming","Employee Count",3250,
"2018","Canterbury Region","A015 Other Crop Growing","Geographic Units",690,
"2018","Canterbury Region","A015 Other Crop Growing","Employee Count",230,
"2018","Canterbury Region","A016 Dairy Cattle Farming","Geographic Units",1680,
"2018","Canterbury Region","A016 Dairy Cattle Farming","Employee Count",5200,
"2018","Canterbury Region","A017 Poultry Farming","Geographic Units",84,
"2018","Canterbury Region","A017 Poultry Farming","Employee Count",220,
"2018","Canterbury Region","A018 Deer Farming","Geographic Units",228,
"2018","Canterbury Region","A018 Deer Farming","Employee Count",180,
"2018","Canterbury Region","A019 Other Livestock Farming","Geographic Units",648,
"2018","Canterbury Region","A019 Other Livestock Farming","Employee Count",600,
"2018","Canterbury Region","A020 Aquaculture","Geographic Units",24,
"2018","Canterbury Region","A020 Aquaculture","Employee Count",160,
"2018","Canterbury Region","A030 Forestry and Logging","Geographic Units",432,
"2018","Canterbury Region","A030 Forestry and Logging","Employee Count",260,
"2018","Canterbury Region","A041 Fishing","Geographic Units",150,
"2018","Canterbury Region","A041 Fishing","Employee Count",720,
"2018","Canterbury Region","A042 Hunting and Trapping","Geographic Units",24,
"2018","Canterbury Region","A042 Hunting and Trapping","Employee Count",0,
"2018","Canterbury Region","A051  Forestry Support Services","Geographic Units",54,
"2018","Canterbury Region","A051  Forestry Support Services","Employee Count",120,
"2018","Canterbury Region","A052 Agriculture and Fishing Support Services","Geographic Units",1086,
"2018","Canterbury Region","A052 Agriculture and Fishing Support Services","Employee Count",2900,
"2018","Canterbury Region","B060 Coal Mining","Geographic Units",3,
"2018","Canterbury Region","B060 Coal Mining","Employee Count",35,
"2018","Canterbury Region","B080 Metal Ore Mining","Geographic Units",12,
"2018","Canterbury Region","B080 Metal Ore Mining","Employee Count",12,
"2018","Canterbury Region","B091 Construction Material Mining","Geographic Units",42,
"2018","Canterbury Region","B091 Construction Material Mining","Employee Count",220,
"2018","Canterbury Region","B099 Other Non-Metallic Mineral Mining and Quarrying","Geographic Units",3,
"2018","Canterbury Region","B099 Other Non-Metallic Mineral Mining and Quarrying","Employee Count",0,
"2018","Canterbury Region","B101 Exploration","Geographic Units",6,
"2018","Canterbury Region","B101 Exploration","Employee Count",0,
"2018","Canterbury Region","B109 Other Mining Support Services","Geographic Units",12,
"2018","Canterbury Region","B109 Other Mining Support Services","Employee Count",60,
"2018","Canterbury Region","C111 Meat and Meat Product Manufacturing","Geographic Units",54,
"2018","Canterbury Region","C111 Meat and Meat Product Manufacturing","Employee Count",5200,
"2018","Canterbury Region","C112 Seafood Processing","Geographic Units",18,
"2018","Canterbury Region","C112 Seafood Processing","Employee Count",640,
"2018","Canterbury Region","C113 Dairy Product Manufacturing","Geographic Units",27,
"2018","Canterbury Region","C113 Dairy Product Manufacturing","Employee Count",2350,
"2018","Canterbury Region","C114 Fruit and Vegetable Processing","Geographic Units",18,
"2018","Canterbury Region","C114 Fruit and Vegetable Processing","Employee Count",1000,
"2018","Canterbury Region","C115 Oil and Fat Manufacturing","Geographic Units",6,
"2018","Canterbury Region","C115 Oil and Fat Manufacturing","Employee Count",35,
"2018","Canterbury Region","C116 Grain Mill and Cereal Product Manufacturing","Geographic Units",12,
"2018","Canterbury Region","C116 Grain Mill and Cereal Product Manufacturing","Employee Count",170,
"2018","Canterbury Region","C117 Bakery Product Manufacturing","Geographic Units",144,
"2018","Canterbury Region","C117 Bakery Product Manufacturing","Employee Count",2150,
